Question,Answer
92 + 35.84 + 32,159.84
86 - 6 + 91,171.0
97 - 35 + 11.62,73.62
18.22 + 22.45 + 72,112.67
95 - 58.39 + 66,102.61
41 + 89.9,130.9
17.32 - 66.62 - 35 + 85,0.7
86 + 23.71,109.71
84.47 + 87 - 37.78 - 96.25,37.44
53 + 5.84 - 80.56,-21.72
25 - 67,-42.0
99.93 + 57 + 56.5,213.43
18.6 + 81.53 + 29.08 + 3,132.21
15 - 7 - 47,-39.0
53 + 7.93,60.93
19 - 13.44,5.56
98.15 + 9 - 8.32,98.83
83.61 + 4,87.61
99.74 + 98 - 22,175.74
62.08 - 88.37 + 62,35.71
18 - 42.52 - 15.63 + 27.32,-12.83
38 + 83.36 - 95,26.36
21.24 - 20 - 90,-88.76
58.56 + 30 + 81.47 + 18,188.03
52 - 1,51.0
6.74 + 30.88 + 85 + 85.55,208.17
38 - 61.37,-23.37
94.71 + 68.86,163.57
32 - 12.38 + 73.14,92.76
80.47 - 29 - 73 + 34.5,12.97
82 - 64 + 2.02,20.02
20.01 - 81.28 + 24.11 - 64.66,-101.82
6.2 - 53.0,-46.8
50.98 + 93,143.98
85.07 - 32 - 67 - 15,-28.93
70.63 + 31.85 + 83,185.48
6.07 + 91.75 + 86,183.82
63 + 54.12 - 25,92.12
58.35 + 82.92,141.27
10.57 - 15.88 + 4,-1.31
78.23 - 61.09 + 52 - 20.43,48.71
32.8 + 71 + 18,121.8
80.15 - 94.23 + 28,13.92
2 + 49 + 47.06,98.06
88 - 10.67 - 70.23,7.1
61 - 29.55 - 26 + 22.54,27.99
12.0 + 88.95 + 10.72 + 88,199.67
66.97 - 44.48 + 94,116.49
94 - 36.77 + 94,151.23
48.88 - 41.72 - 38.97,-31.81
95 + 82.34 + 12.13 + 40.96,230.43
36.11 - 52.36 - 80,-96.25
16.96 - 10 + 67.26,74.22
88.11 + 11,99.11
46.85 + 14.14,60.99
76.57 - 3,73.57
47 - 45.14 - 48.25,-46.39
76 - 41,35.0
24.43 + 75,99.43
14 - 23,-9.0
67.87 + 66,133.87
66 + 87 - 43.04 - 100,9.96
52 - 29 + 50,73.0
32 + 49.0 - 13.22,67.78
50 - 55.02 + 32.1,27.08
70 - 85.72 - 51.28,-67.0
38 - 82 - 73.98,-117.98
100 - 30.47 - 32.57 - 14,22.96
23.75 + 73 + 80 + 39.4,216.15
99 + 79.93 + 92 + 7.03,277.96
23.73 + 36.58 - 72,-11.69
42 + 84.81 + 14 - 54.19,86.62
50.11 + 1.91 - 36 + 26,42.02
61.17 - 20.87,40.3
49 - 59.97 + 12 + 59,60.03
23 - 82 - 71,-130.0
12 + 45 - 17,40.0
72 - 41.83,30.17
69 - 75 + 13,7.0
56 - 28.37,27.63
17 + 12.84,29.84
31 + 2 - 62.6,-29.6
8 + 38.19,46.19
1.87 - 43 + 3.09,-38.04
99 + 91 + 89.57,279.57
71.79 + 50.67,122.46
86 - 42,44.0
67 - 37,30.0
28 + 30.18 - 35,23.18
65 - 14.51 + 2.88 + 80,133.37
31 + 92 - 76,47.0
83.45 - 37,46.45
83.74 + 7.66 + 30 - 31.9,89.5
23 - 82.3 + 43 - 54.58,-70.88
80 - 23.56,56.44
13.77 - 97.53 - 81.53,-165.29
45 + 40 + 13.78 - 47,51.78
37 + 38.41,75.41
24 + 52 - 59,17.0
78 + 91.55,169.55
